tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2017,330,12,1,4,31081,11.6488459463816,12.3715699825931,12.0073356713104
2016,330,12,1,4,31666,11.6828502993009,12.3997619662204,12.0413061327607
2015,330,12,1,4,32322,12.141741310777,12.8628994911535,12.5023204009653
2014,330,12,1,4,32872,12.3528323282857,13.0730620499085,12.7129471890971
2012,330,12,1,4,32912,13.3587181732957,14.1023902370106,13.7305542051531
2013,330,12,1,4,34927,13.5092844089376,14.2342950568052,13.8717897328714
2017,330,14,1,4,35015,9.66463377763424,10.2924072030369,9.97572468941882
2016,330,14,1,4,35332,9.70615954319471,10.332332475372,10.0192460092834
2012,330,14,1,4,36959,9.92129376958953,10.5392165256024,10.230255147596
2014,330,14,1,4,37166,10.0092961797186,10.6278452936711,10.3185707366948
2015,330,14,1,4,37734,9.67795410838503,10.2828239697408,9.98038903906292
2013,330,14,1,4,38390,10.3734745740233,10.9914642121189,10.6824693930711
2012,330,01,1,4,45690,8.13494291781847,8.64334554792896,8.38914423287371
2013,330,01,1,4,47707,8.56602456173934,9.07499247978496,8.82050852076215
2014,330,01,1,4,48926,8.22724583446949,8.72079815032387,8.47402199239668
2015,330,01,1,4,50347,8.18681146880695,8.67218708125562,8.42949927503128
2016,330,01,1,4,50392,8.48114676788889,8.974004843478,8.72757580568344
2017,330,01,1,4,50687,8.60321219370731,9.09769250750008,8.84842267248012
2012,330,46,5,4,105477,9.86155271635088,10.2243427869342,10.0429477516425
2016,330,46,5,4,109944,9.78801492286328,10.1421313334126,9.96507312813796
2017,330,46,5,4,110114,9.89090531847804,10.2463614912786,10.0677479702853
2014,330,46,5,4,110520,9.82941281287695,10.1832545776406,10.0063336952588
2013,330,46,5,4,112065,10.1586110333355,10.5151051135435,10.3368580734395
2015,330,46,5,4,112419,9.67997741079653,10.0284348682666,9.85420613953157
2017,330,46,4,4,120472,9.30244356838002,9.63307883121862,9.46693007503818
2016,330,46,4,4,121349,9.25231377865884,9.58096873706029,9.41664125785956
2012,330,46,4,4,122117,9.30376001496435,9.63217847025884,9.46796924261159
2014,330,46,4,4,125458,9.29225780811128,9.61606210771713,9.4541599579142
2015,330,46,4,4,125671,9.20463965450488,9.52680992415687,9.36572478933087
2013,330,46,4,4,127443,9.62943260458228,9.95579373189755,9.79261316823992
2012,330,46,1,4,227594,9.61265485039632,9.85622394254198,9.73443939646915
2017,330,46,1,4,230586,9.63317427616062,9.87537236112579,9.75384455257474
2016,330,46,1,4,231293,9.55684564742478,9.79782570017329,9.67733567379903
2014,330,46,1,4,235978,9.59328713475427,9.83225253419792,9.7127698344761
2015,330,46,1,4,238090,9.4780582627515,9.71468397757778,9.59637112016464
2013,330,46,1,4,239508,9.926863374143,10.1676637397739,10.0472635569584
