tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2015,330,09,1,4,1694,7.06282420532071,9.70222892336878,8.38252656434475
2012,330,10,5,4,1903,7.94688642396138,10.5502234026282,9.2485549132948
2016,330,10,4,4,1942,8.12388145138392,10.7226684971228,9.42327497425335
2012,330,07,5,4,2039,7.27504225159305,9.69406024963304,8.48455125061304
2017,330,10,5,4,2059,8.71093124015343,11.2967380961164,9.95628946090335
2017,330,10,4,4,2063,7.78442936297319,10.2497443941664,8.96752302472128
2016,330,10,5,4,2078,9.03696315248366,11.6560108609908,10.3464870067372
2016,330,07,5,4,2084,7.74607377208965,10.2001834256071,8.97312859884837
2017,330,07,5,4,2115,9.28039069853597,11.8972599049812,10.5437352245863
2014,330,10,5,4,2135,9.81254058218874,12.4825413850244,11.1475409836066
2014,330,07,5,4,2143,7.18133642049736,9.52421654263843,8.3527764815679
2014,330,10,4,4,2172,8.90352789144858,11.4463800275201,10.1749539594843
2012,330,10,4,4,2174,9.24311937492469,11.8240379387828,10.5335786568537
2017,330,07,4,4,2181,7.91955802541839,10.3305666013076,9.07840440165062
2013,330,10,5,4,2187,9.31751341843004,11.8987645879714,10.6081390032007
2015,330,10,5,4,2195,9.49893738491804,12.0955956446947,10.7972665148064
2015,330,10,4,4,2200,7.33462756635876,9.66537243364124,8.5
2013,330,07,5,4,2243,8.24093143655734,10.6623231332153,9.45162728488631
2015,330,07,5,4,2256,6.61182909054636,8.81370282434726,7.71276595744681
2012,330,07,4,4,2295,7.92965659904631,10.283851026226,9.10675381263617
2014,330,07,4,4,2311,7.1827815599536,9.43340191040556,8.30809173517958
2015,330,07,4,4,2352,6.18136056208972,8.27442175083545,7.22789115646258
2013,330,10,4,4,2368,10.5639935400812,13.1691145680269,11.8665540540541
2016,330,07,4,4,2402,7.06508551326627,9.25464804210426,8.15986677768526
2013,330,07,4,4,2449,8.58373325888867,10.9344374230223,9.75908534095549
2012,330,19,5,4,2692,7.94421323012221,10.1092785975152,9.02674591381872
2015,330,19,5,4,2735,8.16457856294013,10.3363355138423,9.25045703839123
2013,330,19,5,4,2807,8.12253014082536,10.2600847505177,9.19130744567154
2012,330,18,5,4,2886,6.58958389396564,8.51783121344946,7.55370755370755
2014,330,19,5,4,2895,8.52949712077012,10.6760296495235,9.6027633851468
2012,330,04,5,4,2903,10.3116499441608,12.630134416845,11.4708921805029
2014,330,18,5,4,2927,6.40028679529515,8.29052290747219,7.34540485138367
2016,330,22,5,4,2940,7.04502334328268,9.00939842542481,8.02721088435374
2017,330,18,5,4,2954,5.26984010149455,6.99544070454381,6.09343263371699
2012,330,24,5,4,2958,8.57152744246256,10.6982494338052,9.63488843813387
2016,330,19,5,4,2970,8.37667274054551,10.4785461146733,9.42760942760943
2014,330,04,5,4,2984,7.51078322839241,9.51334545793467,8.51206434316354
2016,330,18,5,4,2984,5.9624054569862,7.77754092371085,6.86997319034853
2016,330,04,5,4,3001,7.62574660559785,9.63516642339249,8.63045651449517
2012,330,23,1,4,3012,5.37775726361894,7.10564247077681,6.24169986719787
2017,330,19,5,4,3012,9.08129408766058,11.2355632319027,10.1261620185923
2017,330,23,1,4,3016,3.90098239578252,5.39847760182258,4.60875331564987
2015,330,23,1,4,3020,3.88585716031533,5.38566601849262,4.63576158940397
2016,330,04,4,4,3023,7.82072012521501,9.8438514923834,8.83228580879921
2012,330,19,4,4,3027,5.47462420275294,7.21120334927877,6.34291377601586
2013,330,04,5,4,3059,9.22043700087037,11.3745286741868,10.2974828375286
2017,330,08,5,4,3061,7.10836716788059,9.03440128988448,8.03658934988566
2014,330,23,1,4,3071,5.48724508357805,7.21220135080815,6.3497232171931
2013,330,18,5,4,3075,6.70324204413062,8.58131080139783,7.64227642276423
